method,score,threshold,coverage,selective_accuracy,selective_macro_f1
embedding_distance,embedding_distance,8.938661271956711,0.7532467532467533,0.45689655172413796,0.3186052952254348
embedding_distance,embedding_distance,8.976643248191035,0.7597402597402597,0.46153846153846156,0.3265241615771992
embedding_distance,embedding_distance,9.010182140803623,0.7662337662337663,0.4576271186440678,0.3262597512123129
embedding_distance,embedding_distance,9.549120451550639,0.7727272727272727,0.453781512605042,0.32496392496392495
embedding_distance,embedding_distance,9.61922298316648,0.7792207792207793,0.45,0.3247159090909091
embedding_distance,embedding_distance,9.83371119585217,0.7857142857142857,0.4462809917355372,0.32447552447552447
embedding_distance,embedding_distance,9.974827440804228,0.7922077922077922,0.4426229508196721,0.3242424242424242
embedding_distance,embedding_distance,10.031946258918065,0.7987012987012987,0.43902439024390244,0.3232160312805474
embedding_distance,embedding_distance,10.084537964822443,0.8051948051948052,0.4435483870967742,0.35262779598642974
embedding_distance,embedding_distance,10.137036304773451,0.8116883116883117,0.44,0.3507676670411384
embedding_distance,embedding_distance,10.153984558468746,0.8181818181818182,0.4365079365079365,0.3490861879556576
embedding_distance,embedding_distance,10.295339131054194,0.8246753246753247,0.4330708661417323,0.3475572697522207
embedding_distance,embedding_distance,10.43548126522409,0.8311688311688312,0.4296875,0.34615975422427037
embedding_distance,embedding_distance,10.516022896676933,0.8376623376623377,0.4263565891472868,0.34487629589855845
embedding_distance,embedding_distance,10.585974808974866,0.8441558441558441,0.4230769230769231,0.34369253545270373
embedding_distance,embedding_distance,10.663018521751674,0.8506493506493507,0.4198473282442748,0.34259647959935186
embedding_distance,embedding_distance,10.713446854061852,0.8571428571428571,0.42424242424242425,0.3488978494623656
embedding_distance,embedding_distance,10.787476393790904,0.8636363636363636,0.42105263157894735,0.3478013582342954
embedding_distance,embedding_distance,10.80807167899074,0.8701298701298701,0.417910447761194,0.34677580484032094
